== dev.jsonl: 120 cases
mp4570.thermal_shutdown.01.zh_formal | zh_formal | ANSWERED | MP4570 的过温关断保护在多少度触发、多少度恢复？
mp4570.thermal_shutdown.01.zh_colloquial | zh_colloquial | ANSWERED | MP4570 太烫了会自己停下来吗？凉到多少度会自己再开？
mp4570.thermal_shutdown.01.en | en | ANSWERED | At what temperatures does the MP4570 thermal shutdown trigge
mp4570.thermal_shutdown.01.zh_en_mixed | zh_en_mixed | ANSWERED | MP4570 的 thermal shutdown 是多少度触发、多少度恢复？
mp4570.soft_start.01.zh_formal | zh_formal | ANSWERED | MP4570 的软启动时间如何外部设置，SS 悬空时采用什么时间，最终时间如何确定？
mp4570.soft_start.01.zh_colloquial | zh_colloquial | ANSWERED | MP4570 上电时输出爬升速度怎么调，不接SS电容时多长，最终按哪个时间算？
mp4570.soft_start.01.en | en | ANSWERED | How is MP4570 soft-start set externally, what time applies w
mp4570.soft_start.01.zh_en_mixed | zh_en_mixed | ANSWERED | MP4570 的 soft start 如何外调，SS floating 时是多少，final SS time 怎么确定
mp4570.input_range.01.zh_formal | zh_formal | ANSWERED | MP4570 的推荐输入电压范围是多少？
mp4570.input_range.01.zh_colloquial | zh_colloquial | ANSWERED | MP4570 输入电压最低和最高各能接多少伏？
mp4570.input_range.01.en | en | ANSWERED | What is the recommended input voltage range of the MP4570?
mp4570.input_range.01.zh_en_mixed | zh_en_mixed | ANSWERED | MP4570 的 VIN 范围是多少？
mp4570.ovp.01.zh_formal | zh_formal | ANSWERED | MP4570 的输出过压保护阈值是多少？触发后如何恢复？
mp4570.ovp.01.zh_colloquial | zh_colloquial | ANSWERED | MP4570 输出电压冲太高了芯片会怎么保护？什么时候自己恢复？
mp4570.ovp.01.en | en | ANSWERED | What is the MP4570 output overvoltage protection threshold, 
mp4570.ovp.01.zh_en_mixed | zh_en_mixed | ANSWERED | MP4570 的 OVP 保护阈值是多少？触发后怎么恢复？
mp4570.uvlo.01.zh_formal | zh_formal | ANSWERED | MP4570 在 EN 有效时的 VIN UVLO 上升阈值最小值、典型值和最大值分别是多少？
mp4570.uvlo.01.zh_colloquial | zh_colloquial | ANSWERED | MP4570 的 EN 已经打开时，输入电压升到多少才启动，这个阈值有多大误差范围？
mp4570.uvlo.01.en | en | ANSWERED | With EN active, what are the minimum, typical, and maximum M
mp4570.uvlo.01.zh_en_mixed | zh_en_mixed | ANSWERED | EN active 时，MP4570 的 VIN UVLO rising threshold min/typ/max 是
tps54331.soft_start.01.zh_formal | zh_formal | ANSWERED | TPS54331 是否有内部慢启动，外部SS电容设置的时间范围和容量上限是什么？
tps54331.soft_start.01.zh_colloquial | zh_colloquial | ANSWERED | TPS54331 有没有内部软启动，外接SS电容能设多长时间，电容最大多大？
tps54331.soft_start.01.en | en | ANSWERED | Does the TPS54331 have internal slow start, and what time ra
tps54331.soft_start.01.zh_en_mixed | zh_en_mixed | ANSWERED | TPS54331 是否有 internal slow-start，external SS 的 time range 和 
tps54331.light_load.01.zh_formal | zh_formal | ANSWERED | TPS54331 在什么条件下进入 Eco-mode？
tps54331.light_load.01.zh_colloquial | zh_colloquial | ANSWERED | TPS54331 的峰值电感电流低到什么程度、COMP 电压处于什么水平时，会进入 Eco-mode？
tps54331.light_load.01.en | en | ANSWERED | Under what conditions does the TPS54331 enter Eco-mode?
tps54331.light_load.01.zh_en_mixed | zh_en_mixed | ANSWERED | TPS54331 轻载时进入 Eco-mode 的条件是什么？
tps562201.soft_start.01.zh_formal | zh_formal | ANSWERED | TPS562201 的软启动时间是固定的吗？预偏置输出下如何启动？
tps562201.soft_start.01.zh_colloquial | zh_colloquial | ANSWERED | TPS562201 上电时输出爬升要多久？输出原本有电压时会怎么启动？
tps562201.soft_start.01.en | en | ANSWERED | What is the TPS562201 fixed soft-start time, and how does it
tps562201.soft_start.01.zh_en_mixed | zh_en_mixed | ANSWERED | TPS562201 的 soft start 是内部固定 1.0ms 吗？预偏置怎么办？
lt8610.quiescent.01.zh_formal | zh_formal | ANSWERED | LT8610 的静态电流是多少？在什么条件下成立？
lt8610.quiescent.01.zh_colloquial | zh_colloquial | ANSWERED | LT8610 空载的时候自己耗多少电？
lt8610.quiescent.01.en | en | ANSWERED | What is the LT8610 quiescent current, and under what conditi
lt8610.quiescent.01.zh_en_mixed | zh_en_mixed | ANSWERED | LT8610 的 quiescent current 是 2.5µA 吗？在什么条件下？
